,21728047
Time,Voltage
134.40625,45.90759277
134.6015625,45.83129883
134.8046875,45.7824707
135,45.70922852
135.203125,45.703125
135.40625,45.68481445
135.6015625,45.61767578
135.8046875,45.62988281
136,45.6237793
136.203125,45.59936523
136.40625,45.54443359
136.6015625,45.49865723
136.8046875,45.52307129
137,45.48339844
137.203125,45.41931152
137.40625,45.41320801
137.6015625,45.37963867
137.8046875,45.41931152
138,45.38879395
138.203125,45.35217285
138.40625,45.32470703
138.6015625,45.28198242
138.8046875,45.31555176
139,45.29724121
139.203125,45.30639648
139.40625,45.26062012
139.6015625,45.22399902
139.8046875,45.24841309
140,45.28198242
140.203125,45.19958496
140.40625,45.19958496
140.6015625,45.18432617
140.8046875,45.09887695
141,45.05310059
141.203125,45.06530762
141.40625,45.08666992
141.6015625,45.05615234
141.8046875,45.10192871
142,45.08361816
142.203125,44.9798584
142.40625,45.05615234
142.6015625,44.98596191
142.8046875,44.93408203
143,44.94628906
143.203125,44.85473633
143.40625,44.92492676
143.6015625,44.9005127
143.8046875,44.89440918
144,44.87915039
144.203125,44.93103027
144.40625,44.90661621
144.6015625,44.90966797
144.8046875,44.9005127
145,44.87609863
145.203125,44.83642578
145.40625,44.84863281
145.6015625,44.85168457
145.8046875,44.80285645
146,44.77233887
146.203125,44.76318359
146.40625,44.76318359
146.6015625,44.81201172
146.8046875,44.6685791
147,44.59838867
147.203125,44.69909668
147.40625,44.61364746
147.6015625,44.68383789
147.8046875,44.77539063
148,44.63195801
148.203125,44.63500977
148.40625,44.64111328
148.6015625,44.65026855
148.8046875,44.60754395
149,44.54956055
149.203125,44.55871582
149.40625,44.5526123
149.6015625,44.58312988
149.8046875,44.4732666
150,44.44885254
150.203125,44.51904297
150.40625,44.47631836
150.6015625,44.51904297
150.8046875,44.50683594
151,44.48852539
151.203125,44.44274902
151.40625,44.44274902
151.6015625,44.41223145
151.8046875,44.36645508
152,44.38171387
152.203125,44.34204102
152.40625,44.39086914
152.6015625,44.44580078
152.8046875,44.36950684
153,44.30236816
153.203125,44.32067871
153.40625,44.25048828
153.6015625,44.20776367
153.8046875,44.22302246
154,44.23828125
154.203125,44.24743652
154.40625,44.24438477
154.6015625,44.21691895
154.8046875,44.17724609
155,44.03991699
155.203125,44.06433105
155.40625,44.05517578
155.6015625,44.03686523
155.8046875,44.04602051
156,44.00939941
156.203125,43.96057129
156.40625,43.88427734
156.6015625,43.91174316
156.8046875,43.89648438
157,43.82019043
157.203125,43.81408691
157.40625,43.78662109
157.6015625,43.72558594
157.8046875,43.68896484
158,43.68591309
158.203125,43.66455078
158.40625,43.61877441
158.6015625,43.62487793
158.8046875,43.63098145
159,43.48144531
159.203125,43.4753418
159.40625,43.44482422
159.6015625,43.47839355
159.8046875,43.60351563
160,43.56994629
160.203125,43.48449707
160.40625,43.43261719
160.6015625,43.47229004
160.8046875,43.45092773
161,43.41430664
161.203125,43.39904785
161.40625,43.42346191
161.6015625,43.38378906
161.8046875,43.44177246
162,43.36242676
162.203125,43.36853027
162.40625,43.37158203
162.6015625,43.31359863
162.8046875,43.27697754
163,43.28308105
163.203125,43.21899414
163.40625,43.16711426
163.6015625,43.1640625
163.8046875,43.17321777
164,43.1427002
164.203125,43.07250977
164.40625,43.00231934
164.6015625,42.94433594
164.8046875,42.94433594
165,42.96264648
165.203125,42.97790527
165.40625,42.93823242
165.6015625,42.85583496
165.8046875,42.81921387
166,42.80700684
166.203125,42.82836914
166.40625,42.75817871
166.6015625,42.73071289
166.8046875,42.66967773
167,42.69714355
167.203125,42.68188477
167.40625,42.67272949
167.6015625,42.59643555
