Time,Score0,Score1,Score2,Score3
,1.013268,-0.000417228,0.020086548,-0.003814656
,1.013268,0.001668912,0.015437436,-0.00327822
,-0.476832,0.005245152,0.015437436,-0.005543172
,0.417228,-0.00029802,0.01847724,-0.006496836
,-3.337824,-0.004708716,0.018656052,-0.006973668
,0.29802,0.00327822,0.0208614,-0.002503368
,2.08614,0.006914064,0.019192488,-0.000417228
,-0.655644,0.004231884,0.0208614,-0.00387426
,0,0.007510104,0.020026944,-0.001668912
,0,0.007033272,0.021874668,0.001728516
,-1.966932,0.006020004,0.018715656,0.000119208
,-1.19208,0.005423964,0.023424372,-0.004887528
,-0.655644,0.000774852,0.023722392,-0.002920596
,-3.814656,0.006318024,0.01817922,-0.007092876
,-3.457032,0.003397428,0.01609308,-0.008165748
,3.27822,0.001251684,0.020921004,-0.007212084
,0.476832,0.002026536,0.023603184,-0.010251888
,-0.953664,0.004410696,0.023007144,-0.008225352
,0.953664,0.004649112,0.016569912,-0.000536436
,1.966932,0.002443764,0.012099612,0.001311288
,0.89406,0.002026536,0.0163911,-0.001311288
,0,0.002145744,0.02145744,0.002205348
,-1.370892,0,0.022530312,-0.002443764
,-1.966932,0.00059604,0.01460298,-0.00327822
,-1.4901,0.003814656,0.014364564,-0.001609308
,-5.185548,0.005483568,0.019788528,-0.004410696
,-4.887528,0.003755052,0.020146152,-0.004053072
,-2.145744,0.004708716,0.01966932,-0.00506634
,0.536436,0.002026536,0.01907328,-0.003397428
,1.19208,0.004410696,0.01966932,0.00059604
,1.728516,0.0074505,0.0208614,-0.001370892
,-0.059604,0.003933864,0.017463972,-0.00625842
,-1.728516,-0.000119208,0.018000408,-0.00208614
,-1.370892,0.001311288,0.01907328,0.000059604
,-2.801388,0.002622576,0.020503776,-0.004053072
,-2.08614,0.00208614,0.018536844,-0.000834456
,-0.238416,0.001311288,0.017940804,0.001013268
,0.178812,0.005543172,0.019013676,-0.000655644
,0.834456,0.005483568,0.019550112,-0.003159012
,0.715248,0.003337824,0.01728516,-0.002205348
,1.19208,0.003337824,0.020205756,0.008880996
,1.430496,0.004708716,0.018834864,0.00178812
,-1.19208,0.002801388,0.013291692,-0.00238416
,-0.178812,-0.000238416,0.018536844,-0.002562972
,-1.668912,-0.003993468,0.021338232,-0.000357624
,-1.013268,0.001847724,0.016629516,-0.006139212
,1.78812,-0.000119208,0.019311696,-0.010311492
,1.013268,0.00178812,0.0253317,-0.001668912
,-1.251684,0.0059604,0.022530312,0.001847724
,-1.251684,0.006377628,0.015377832,0.003039804
,-2.026536,0.006496836,0.017761992,0.004231884
,-1.430496,0.004231884,0.019490508,0.001251684
,3.27822,0.003635844,0.019252092,-0.00268218
,-0.655644,0.005304756,0.017940804,-0.004112676
,2.08614,0.006020004,0.013947336,-0.00417228
,2.264952,0.003218616,0.014364564,0.000774852
,0.536436,0.001847724,0.016033476,-0.00089406
,2.205348,0.001668912,0.020742192,-0.004053072
,2.9802,0.002503368,0.022470708,-0.00327822
,3.337824,0.005721984,0.023126352,-0.006318024
,0.29802,0.00089406,0.020742192,-0.0014901
,-1.549704,0.000476832,0.016629516,0.0014901
,-0.715248,0.002264952,0.01549704,-0.008106144
,-0.417228,0.001668912,0.014841396,-0.008523372
,-0.715248,0.00268218,0.012755256,-0.00417228
,-0.89406,0.003039804,0.017463972,-0.004529904
,-1.311288,0.002324556,0.020205756,-0.00864258
,-1.430496,0.000774852,0.01698714,-0.008404164
,-1.430496,0.002622576,0.015914268,-0.00774852
,-0.357624,0.005543172,0.022887936,-0.001668912
,0.59604,0.006318024,0.021278628,-0.002443764
,-0.715248,0.002145744,0.012755256,-0.002860992
,2.9802,0.00238416,0.017165952,-0.001072872
,1.370892,0.007986936,0.025152888,0.00208614
,2.205348,0.003695448,0.020324964,0.001549704
,-0.29802,0.001668912,0.01549704,-0.002801388
,-1.072872,0.001549704,0.01817922,0.000774852
,0.476832,0.000417228,0.021576648,-0.002801388
,-0.89406,0.00089406,0.018536844,-0.00476832
,-1.609308,-0.002443764,0.019192488,-0.004053072
,-2.860992,0,0.019192488,-0.003933864
,-2.205348,0.003457032,0.014483772,-0.0029802
,1.311288,0.00059604,0.014960604,-0.0014901
,-0.59604,-0.001013268,0.016271892,-0.000357624
,-1.847724,-0.004291488,0.019907736,-0.003099408
,-1.072872,-0.004231884,0.019728924,-0.0074505
,3.87426,-0.001430496,0.016271892,-0.004589508
,-0.715248,-0.001728516,0.015079812,0.00238416
,-5.483568,-0.001907328,0.015258624,0.000655644
,0.89406,0.000178812,0.016927536,-0.00625842
,3.159012,-0.001549704,0.017702388,-0.004887528
,0.357624,-0.001847724,0.018238824,-0.006020004
,4.708716,0.001072872,0.019848132,-0.00506634
,4.529904,0.000953664,0.02115942,0.00208614
,1.013268,0.002801388,0.021934272,-0.000655644
,3.814656,0.002503368,0.018119616,-0.007629312
,1.4901,-0.001013268,0.015020208,-0.004231884
,-0.178812,-0.002801388,0.01817922,-0.000655644
,1.609308,0.000357624,0.01579506,-0.001013268
,2.026536,0.006377628,0.016271892,-0.003516636
,-3.57624,0.00804654,0.020026944,-0.003397428
,-3.695448,0.004887528,0.022291896,-0.000715248
,2.741784,0.001430496,0.022530312,-0.00327822
,-2.324556,-0.000476832,0.018417636,-0.0044703
,-4.529904,-0.001311288,0.0163911,-0.012695652
,2.324556,-0.0014901,0.018060012,-0.009059808
,2.264952,0.000417228,0.020384568,-0.00178812
,-0.89406,0.00029802,0.016212288,-0.001013268
,-3.099408,-0.000357624,0.020205756,0.00476832
,0.536436,0.001251684,0.021278628,0.005125944
,0.29802,0.004351092,0.01758318,-0.00655644
,4.17228,0.004231884,0.017523576,-0.00417228
,2.920596,0.004410696,0.01877526,-0.000834456
,0.178812,-0.001311288,0.01966932,-0.00715248
,2.68218,-0.001609308,0.017165952,-0.009775056
,2.562972,-0.001728516,0.018119616,-0.008225352
,0.59604,0.000655644,0.017404368,-0.00566238
,2.026536,-0.001251684,0.017344764,-0.00566238
,-0.536436,-0.000655644,0.020682588,-0.003457032
,0.655644,0.004053072,0.019132884,-0.001251684
,4.112676,0.003516636,0.016748724,-0.00208614
,4.351092,-0.000953664,0.01728516,-0.001609308
,0,-0.005006736,0.0178812,-0.00387426
,-0.715248,0.002443764,0.02294754,-0.005304756
,2.264952,0.005304756,0.02205348,-0.00476832
,0.655644,0.00327822,0.013947336,-0.004589508
,0.119208,0.000059604,0.01996734,-0.002205348
,-1.4901,0.001728516,0.018954072,-0.001013268
,-0.417228,0.006437232,0.018536844,-0.005781588
,1.668912,-0.000536436,0.020026944,-0.003755052
,0.655644,-0.005841192,0.017106348,-0.002205348
,-3.993468,0.001311288,0.020384568,0.001370892
,-4.947132,0.005245152,0.020503776,-0.004708716
,-3.397428,0.003755052,0.017404368,-0.00506634
,-1.132476,0.00387426,0.019192488,-0.003337824
